"url","Vote By Town","Yes","No"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Gardner","4,787","3,815"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Swansea","4,593","3,984"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Greenfield","5,242","3,277"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Fairhaven","4,692","3,817"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Harwich","4,002","4,461"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wayland","4,268","4,189"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wilbraham","3,620","4,727"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Northbridge","4,217","4,103"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Belchertown","4,652","3,665"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Whitman","4,340","3,634"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Bedford","3,732","4,194"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","East Bridgewater","4,078","3,843"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Uxbridge","4,201","3,520"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Seekonk","3,960","3,740"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Medway","4,184","3,498"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Raynham","3,711","3,945"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Kingston","3,725","3,914"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Medfield","3,424","4,207"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lynnfield","3,030","4,572"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Webster","4,007","3,252"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Charlton","3,762","3,466"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Millbury","3,819","3,370"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Clinton","4,009","3,107"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Oxford","3,806","3,139"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Rehoboth","3,678","3,149"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Southbridge","3,801","3,013"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Pepperell","3,721","3,046"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Tyngsborough","3,562","3,200"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Groton","3,798","2,952"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wrentham","3,295","3,424"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Norwell","3,045","3,659"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Brewster","3,221","3,468"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Weston","2,920","3,673"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lakeville","3,170","3,250"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Nantucket","4,084","2,320"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hull","3,782","2,616"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lunenburg","3,377","2,971"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Carver","3,361","2,917"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Palmer","3,414","2,675"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hanson","3,061","3,010"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Norfolk","2,978","3,083"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Maynard","3,564","2,458"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Southborough","2,789","3,223"
